ip,Rpc,Spc,Tss,Tsr,Smin,Smax,Savg,Ravg,Svar,Rvar,SITmin,SITmax,SITavg,SITvar,RITmin,RITmax,RITavg,RITvar,isBot
147.32.84.165,5,179163.0,190977828.0,1404,60.0,1066.0,1065.9445756099194,280.8,7.421009761018941,206.97632714878287,0.0,1.8460049629211426,0.0002646065861752885,0.009504231957000406,0.07546782493591309,0.3730814456939697,0.20505046844482422,0.11127958582071265,1
147.32.84.191,3,190218.0,202764470.0,1174,60.0,1066.0,1065.9583740760602,391.3333333333333,6.4211415881559715,410.5001015022205,0.0,2.661189079284668,0.0002478107534976802,0.010021343638509624,0.1773529052734375,0.2687199115753174,0.22303640842437744,0.04568350315093994,1
147.32.84.192,6,184255.0,196403888.0,1452,60.0,1066.0,1065.9351876475537,242.0,8.033272017403872,190.9869105462466,0.0,1.8460407257080078,0.00025738444231985207,0.009365713043855776,0.07085990905761719,0.3718740940093994,0.1838170051574707,0.10268295441789309,1
147.32.84.193,4,189346.0,201832906.0,1111,60.0,1066.0,1065.947556325457,277.75,7.218711486720011,235.96804162145912,0.0,2.6607513427734375,0.00024996935202166345,0.010055711601904148,0.09670400619506836,0.28649377822875977,0.19397362073262533,0.07755409896234318,1
147.32.84.204,6,181360.0,193317818.0,1452,60.0,1066.0,1065.9341530657257,242.0,8.097130775442393,190.9869105462466,0.0,2.6606671810150146,0.00026149309856957537,0.010323927049159786,0.07099103927612305,0.36919307708740234,0.1841750144958496,0.10132360830423735,1
147.32.84.205,4,194423.0,207249012.0,1344,60.0,1066.0,1065.969622935558,336.0,5.470773519021024,281.96335459299195,0.0,2.6611549854278564,0.00024220916374350873,0.009920161837172535,0.08404183387756348,0.21949219703674316,0.16779239972432455,0.059761409190881215,1
147.32.84.206,5,197655.0,210692312.0,1399,60.0,1066.0,1065.9599403000177,279.8,6.299186254928551,204.8260237372195,0.0,2.651473045349121,0.0002398233481631845,0.009793842481705567,0.08328580856323242,0.27428674697875977,0.20502400398254395,0.07247167119895816,1
147.32.84.207,4,183869.0,195996436.0,1345,60.0,1066.0,1065.9569367321299,336.25,6.531057677573681,352.81286352210384,0.0,2.6611766815185547,0.0002561101653181861,0.010201875678909985,0.07757902145385742,0.1984999179840088,0.14580599466959634,0.05057286844308067,1
147.32.84.208,5,171737.0,183059700.0,1281,60.0,1066.0,1065.9304634411922,256.2,8.320879513795866,209.95880548336143,0.0,2.6612231731414795,0.00027593549370637965,0.010563732357433495,0.08189821243286133,0.3475029468536377,0.1859140396118164,0.09827436973419147,1
147.32.84.209,5,154867.0,165080174.0,1399,60.0,1066.0,1065.9480328281686,279.8,7.230256692080967,204.8260237372195,0.0,2.6611669063568115,0.0003060201207280995,0.011569769478893606,0.08659100532531738,0.284822940826416,0.2010899782180786,0.07178385996469899,1
