ip,Rpc,Spc,Tss,Tsr,Smin,Smax,Savg,Ravg,Svar,Rvar,SITmin,SITmax,SITavg,SITvar,RITmin,RITmax,RITavg,RITvar,isBot
71.126.222.64,21275,572,50216,1271172,76,88,87.79020979020979,59.74956521739131,1.5741036839261981,1.7154119404183337,6.198883056640625e-06,0.9480020999908447,0.10474631539994489,0.18143700907218407,1.6689300537109375e-06,0.018332242965698242,0.002820153607118059,0.002477934127241297,0
192120148227,65,4560,273600,5720,60,60,60.0,88.0,0.0,0.0,0.009647130966186523,0.12666821479797363,0.013158810455094672,0.004698726504828909,0.011446952819824219,1.0203919410705566,0.9216126725077629,0.26500108376684267,1
192.95.27.190,65,4502,264792,5600,48,60,58.81652598844958,86.15384615384616,3.578256761950656,4.363308554120587,0.0011487007141113281,3.943491220474243,0.013328536302083017,0.10124773682040569,0.001622915267944336,4.880353927612305,0.9217159040272236,0.8627195003375957,1
195198120238,64,415,24900,5632,60,60,60.0,88.0,0.0,0.0,1.6689300537109375e-06,0.7939810752868652,0.14289111158122186,0.2680395780045762,6.4373016357421875e-06,1.391784906387329,0.9185327234722319,0.3977842025626065,1
202.1.175.252,65,3709,222540,5720,60,60,60.0,88.0,0.0,0.0,0.00018286705017089844,0.06145215034484863,0.016177661789273753,0.004610936008470241,0.010335206985473633,1.017880916595459,0.9216374084353447,0.2633935836086406,1
39.247.10.192,65,69,4140,5720,60,60,60.0,88.0,0.0,0.0,0.011384725570678711,2.408295154571533,0.8695026005015654,0.8081657055219047,0.011380195617675781,2.466951847076416,0.9238465130329132,0.8328951112579953,1
40.75.89.172,65,3610,216600,5720,60,60,60.0,88.0,0.0,0.0,0.00019216537475585938,0.09426569938659668,0.016614712714884676,0.010465032052707678,0.005762815475463867,1.0480411052703857,0.9209770523011684,0.264181669165923,1
41215236152,46,46,2760,4048,60,60,60.0,88.0,0.0,0.0,1.218864917755127,1.516127586364746,1.325789091322157,0.07202826218447986,1.2188692092895508,1.516127109527588,1.325789091322157,0.07202834457796047,1
51173229255,65,3831,229860,5720,60,60,60.0,88.0,0.0,0.0,2.1457672119140625e-06,0.08089447021484375,0.015660536818342483,0.007148512532936168,0.009711027145385742,1.0209293365478516,0.9214188419282436,0.2641340515560586,1
51.81.166.201,65,482,28920,5720,60,60,60.0,88.0,0.0,0.0,0.0295565128326416,0.6863126754760742,0.12427264984828766,0.08502062677571331,0.07414698600769043,1.505025863647461,0.9206979386508465,0.2658279322406213,1
58222135253,7,51,3060,616,60,60,60.0,88.0,0.0,0.0,2.6226043701171875e-06,0.10473060607910156,0.023764810562133788,0.038709572243035874,5.698204040527344e-05,0.9915781021118164,0.1798142989476522,0.3640781031054647,1
